"Time","ماست","پنیر","دوغ","کره","بستنی","پگاه","کاله","میهن"
"2021-02-01",12,8,3,67,14,3,1,6
"2021-03-01",12,8,3,77,14,2,1,5
"2021-04-01",14,9,4,69,17,2,2,6
"2021-05-01",14,9,4,71,18,2,2,6
"2021-06-01",13,9,4,67,20,3,2,6
"2021-07-01",13,9,4,66,18,3,4,6
"2021-08-01",12,8,3,67,16,3,2,6
"2021-09-01",11,8,3,68,16,2,2,6
"2021-10-01",10,8,3,93,21,2,1,5
"2021-11-01",10,8,2,69,18,2,2,6
"2021-12-01",11,8,2,67,17,3,2,8
"2022-01-01",11,8,2,66,16,3,2,7
"2022-02-01",11,8,2,69,15,3,2,5
"2022-03-01",10,7,2,88,16,2,2,5
"2022-04-01",12,9,4,65,16,3,2,6
"2022-05-01",11,9,3,67,17,3,2,6
"2022-06-01",12,9,4,77,20,3,2,6
"2022-07-01",11,9,4,82,20,3,2,7
"2022-08-01",11,9,3,78,17,3,2,6
"2022-09-01",11,8,3,82,15,4,2,6
"2022-10-01",10,8,2,79,12,3,2,11
"2022-11-01",10,8,2,82,14,3,2,10
"2022-12-01",10,8,2,86,15,3,2,9
"2023-01-01",10,8,2,82,14,3,2,7
"2023-02-01",10,8,2,78,15,3,2,6
"2023-03-01",10,7,3,85,14,3,1,6
"2023-04-01",15,8,4,78,17,4,2,6
"2023-05-01",12,8,4,75,20,3,2,6
"2023-06-01",11,9,4,84,21,4,2,6
"2023-07-01",11,9,4,88,18,4,2,6
"2023-08-01",11,10,4,90,18,4,2,6
"2023-09-01",10,9,3,84,14,4,2,6
"2023-10-01",10,9,3,71,14,4,2,6
"2023-11-01",10,9,3,74,14,4,2,6
"2023-12-01",10,9,2,73,15,5,2,8
"2024-01-01",10,9,3,81,15,4,2,7
"2024-02-01",10,9,2,97,15,3,2,6
"2024-03-01",12,8,3,80,15,4,2,6
"2024-04-01",19,9,4,66,19,4,2,6
"2024-05-01",17,9,4,72,21,4,2,7
"2024-06-01",14,8,4,79,24,3,2,7
"2024-07-01",12,8,5,76,20,3,3,6
"2024-08-01",12,9,4,76,20,3,3,6
"2024-09-01",11,9,3,73,16,4,3,6
"2024-10-01",10,10,3,60,14,4,3,5
"2024-11-01",11,10,3,76,15,4,3,6
"2024-12-01",10,9,3,71,14,3,3,7
"2025-01-01",11,10,3,74,15,4,3,6
"2025-02-01",11,10,3,69,16,4,3,5
"2025-03-01",10,9,3,68,16,3,3,5
"2025-04-01",12,9,4,56,23,4,3,6
"2025-05-01",12,9,4,60,31,4,4,12
"2025-06-01",11,9,4,100,23,3,3,8
"2025-07-01",13,10,5,81,25,3,4,7
"2025-08-01",12,10,4,69,23,3,5,7
"2025-09-01",11,10,3,62,18,3,4,6
"2025-10-01",10,10,3,57,17,3,4,6
"2025-11-01",11,10,3,55,16,4,4,5
"2025-12-01",10,9,2,55,15,5,4,8
"2026-01-01",10,9,3,66,12,3,5,8
"2026-02-01",10,11,3,64,15,3,3,7
